index,name,layer,pos_x,pos_y,pos_z,rotation,value,tilt,height,thickness,style,width_ratio,degree,length,end_x,end_y,end_z,delta_x,delta_y,delta_z,start_x,start_y,start_z,pos_x1,pos_y1,pos_z1,width,minor_radius,minor_vector_x,minor_vector_y,minor_vector_z,area,radius_ratio,start_degree,major_radius,major_vector_x,major_vector_y,major_vector_z,centor_point_x,centor_point_y,centor_point_z,close,global_width,associative,radius,total_angle
1,Line,0,,,,,,,,0,,,0,0,92334.2887,69588.0798,0,0,0,0,92334.2887,69588.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,PAINT,,,,,,,,0,,,0,16350,84684.2887,69588.0798,0,16350,0,0,68334.2887,69588.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,0,3790,101414.7209,49106.586,0,3790,0,0,97624.7209,49106.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,PAINT,,,,,,,,0,,,90,12290,92334.2887,89528.0798,0,0,12290,0,92334.2887,77238.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,TSZ-1,,,,,,,,0,,,0,4500,72196.2887,78308.0798,0,4500,0,0,67696.2887,78308.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,TSZ-1,,,,,,,,0,,,90,13500,73676.2887,93288.0798,0,0,13500,0,73676.2887,79788.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,TSZ-1,,,,,,,,0,,,0,4500,84396.2887,88568.0798,0,4500,0,0,79896.2887,88568.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,TSZ-1,,,,,,,,0,,,90,13500,78416.2887,87088.0798,0,0,13500,0,78416.2887,73588.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Arc,DIM,,,,,,,,0,,,,17278.7596,,,,,,,,,,,,,,,,,,34533177.77,,90,,,,,53689.0015,62088.0798,0,,,,11000,90
1,Point,Defpoints,74816.5582,60756.9416,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Arc,ZST,,,,,,,,0,,,,1021.0176,,,,,,,,,,,,,,,,,,120580.724,,219,,,,,77718.4128,58233.8799,0,,,,650,90
1,Line,ZST,,,,,,,,0,,,219,4150,78129.7802,57730.6137,0,-3213.1611,-2626.4226,0,81342.9413,60357.0364,0,,,,,,,,,,,,,,,,,,,,,,,
1,Intersection,0,59599.3705,15656.6116,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,106834.2887,76588.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Arc,0,,,,,,,,0,,,,4512.109,,,,,,,,,,,,,,,,,,2963597.647,,90,,,,,74676.8277,64088.0798,0,,,,2000,129
1,Line,0,,,,,,,,0,,,129,9370.2256,65634.5223,65353.8256,0,-5930.1621,7254.9504,0,71564.6844,58098.8753,0,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,83140.7286,96594.3232,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,87140.7286,103594.3232,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,83140.7286,103594.3232,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,67140.7286,103594.3232,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
